Student_ID,Math,Science,English,Arts,Computer,Social_Studies,PE,Interest,Strength,Recommended_Career,Subjects_Needed
52,72,80,94,70,95,75,68,Event Management,Computer,Cybersecurity Analyst,"Computer, Math"
53,95,59,67,72,53,54,97,Sports,PE,Coach,"PE, Biology"
54,54,51,73,56,95,63,75,Coding,Computer,Engineer,"Math, Computer, Science"
55,68,57,85,69,51,90,51,Leadership,Social,Counselor,"Social Studies, Biology"
56,76,55,57,54,96,78,71,Teaching,Computer,Blockchain Developer,"Computer, Math"
57,84,82,71,81,99,57,78,Robotics,Computer,Engineer,"Math, Computer, Science"
58,92,70,61,84,67,90,76,Coding,Math,Astronomer,"Math, Science"
59,55,57,58,65,79,91,61,Leadership,Social,Counselor,"Social Studies, Biology"
60,84,97,57,59,70,74,79,Leadership,Science,Software Developer,"Computer, Math"
61,68,50,93,63,88,57,79,Robotics,English,Journalist,"English, Social Studies"
62,60,53,88,76,54,66,97,Sports,PE,Athlete,"PE, Biology"
63,96,54,57,62,92,71,71,Teaching,Math,Cybersecurity Analyst,"Computer, Math"
64,70,60,84,81,99,63,77,Sports,Computer,Blockchain Developer,"Computer, Math"
65,66,86,83,86,81,63,53,Painting,Science,Blockchain Developer,"Computer, Math"
66,66,72,78,58,56,94,67,Robotics,Social,Political Scientist,"History, Social Studies"
67,98,70,91,61,58,85,76,Nature,Math,Game Developer,"Computer, Math"
68,83,84,85,75,74,53,63,History,English,Digital Marketer,"English, Business Studies"
69,94,65,50,75,97,81,54,Robotics,Computer,Engineer,"Math, Computer, Science"
70,71,63,72,59,95,92,54,Robotics,Computer,Astronomer,"Math, Science"
71,95,65,81,66,99,78,76,Teaching,Computer,Game Developer,"Computer, Math"
72,88,78,54,54,89,97,69,Coding,Social,Historian,"History, Social Studies"
73,68,76,77,81,79,81,68,Coding,Arts,Fashion Designer,Arts
74,87,63,87,70,80,81,77,Nature,Math,Blockchain Developer,"Computer, Math"
75,73,94,56,67,99,99,83,Painting,Computer,Game Developer,"Computer, Math"
76,85,50,62,73,75,95,69,Nature,Social,Historian,"History, Social Studies"
77,88,81,80,94,86,100,90,Robotics,Social,Historian,"History, Social Studies"
78,88,74,73,78,68,50,56,Coding,Math,Doctor,"Biology, Science"
79,75,72,68,52,84,75,68,Teaching,Computer,Cybersecurity Analyst,"Computer, Math"
80,81,88,79,67,85,68,74,Event Management,Science,Blockchain Developer,"Computer, Math"
81,55,84,83,97,57,100,90,Healthcare,Social,Counselor,"Social Studies, Biology"
82,86,57,74,68,99,60,91,Coding,Computer,Doctor,"Biology, Science"
83,78,75,72,96,70,52,67,Coding,Arts,Animator,"Arts, Computer"
84,97,95,92,58,83,61,55,Sports,Math,Blockchain Developer,"Computer, Math"
85,53,85,69,51,94,72,91,Writing,Computer,Blockchain Developer,"Computer, Math"
86,82,93,74,68,84,70,97,Healthcare,PE,Sports Physiotherapist,"PE, Biology"
87,53,72,53,52,55,70,91,Nature,PE,Athlete,"PE, Biology"
88,51,63,78,65,98,77,66,Finance,Computer,Cybersecurity Analyst,"Computer, Math"
89,54,96,66,52,88,79,94,Coding,Science,Engineer,"Math, Computer, Science"
90,97,100,79,73,79,69,78,Healthcare,Science,Game Developer,"Computer, Math"
91,61,70,81,60,81,67,77,Sports,English,Journalist,"English, Social Studies"
92,98,70,74,52,60,63,63,Leadership,Math,Blockchain Developer,"Computer, Math"
93,87,76,84,89,64,94,54,Coding,Social,Historian,"History, Social Studies"
94,74,60,73,95,78,84,94,Coding,Arts,Fashion Designer,Arts
95,52,50,84,93,58,51,57,Coding,Arts,Interior Designer,"Arts, Math"
96,56,96,70,76,73,56,58,Leadership,Science,Software Developer,"Computer, Math"
97,87,66,59,74,93,99,97,Finance,Social,Sociologist,Social Studies
98,69,76,53,57,98,52,51,Event Management,Computer,Software Developer,"Computer, Math"
99,81,59,57,60,56,85,88,Leadership,PE,Fitness Entrepreneur,"PE, Business Studies"
100,65,53,84,77,100,66,84,Sports,Computer,Software Developer,"Computer, Math"
101,77,83,82,54,73,76,64,Teaching,Science,Game Developer,"Computer, Math"
102,90,63,87,69,100,79,53,Robotics,Computer,Engineer,"Math, Computer, Science"
103,60,86,97,86,58,97,81,Event Management,English,Journalist,"English, Social Studies"
104,64,66,52,87,73,93,64,Healthcare,Social,Historian,"History, Social Studies"
105,72,68,53,85,72,50,96,Event Management,PE,Fitness Entrepreneur,"PE, Business Studies"
106,70,89,58,50,67,67,72,Teaching,Science,Game Developer,"Computer, Math"
107,67,65,75,78,74,74,54,Nature,Arts,Interior Designer,"Arts, Math"
108,57,72,55,62,58,69,95,Teaching,PE,Sports Physiotherapist,"PE, Biology"
109,96,50,86,71,66,61,86,Event Management,Math,Blockchain Developer,"Computer, Math"
110,58,80,56,66,51,68,59,Teaching,Science,Blockchain Developer,"Computer, Math"
111,66,53,96,92,63,73,59,Event Management,English,Journalist,"English, Social Studies"
112,90,99,68,82,77,94,67,Finance,Science,Cybersecurity Analyst,"Computer, Math"
113,83,82,70,68,89,60,76,Event Management,Computer,Blockchain Developer,"Computer, Math"
114,51,99,68,93,99,66,72,Event Management,Science,Cybersecurity Analyst,"Computer, Math"
115,95,77,51,77,56,54,95,Teaching,Math,Software Developer,"Computer, Math"
116,85,86,87,81,87,84,75,Sports,English,Digital Marketer,"English, Business Studies"
117,71,81,52,68,64,91,67,Coding,Social,Historian,"History, Social Studies"
118,87,85,80,56,62,64,54,Teaching,Math,Blockchain Developer,"Computer, Math"
119,93,91,60,95,71,87,72,Nature,Arts,Interior Designer,"Arts, Math"
120,72,82,74,70,83,82,65,Sports,Computer,Software Developer,"Computer, Math"
121,71,91,71,79,96,94,52,Healthcare,Computer,Software Developer,"Computer, Math"
122,97,85,50,76,55,85,75,Robotics,Math,Doctor,"Biology, Science"
123,87,59,85,71,78,73,91,Robotics,PE,Fitness Entrepreneur,"PE, Business Studies"
124,70,70,99,61,61,91,90,Nature,English,Journalist,"English, Social Studies"
125,76,91,67,99,70,69,61,Coding,Arts,Interior Designer,"Arts, Math"
126,65,73,72,67,78,92,98,Painting,PE,Fitness Entrepreneur,"PE, Business Studies"
127,59,69,99,83,50,71,60,Teaching,English,Public Relations Manager,"English, Social Studies"
128,56,82,72,100,66,73,84,History,Arts,Interior Designer,"Arts, Math"
129,56,64,63,95,63,91,79,Teaching,Arts,Graphic Designer,"Arts, Computer"
130,94,90,67,72,68,86,77,Writing,Math,Blockchain Developer,"Computer, Math"
131,55,63,55,76,65,95,75,Robotics,Social,Political Scientist,"History, Social Studies"
132,65,90,80,70,54,73,64,History,Science,Cybersecurity Analyst,"Computer, Math"
133,92,80,99,53,90,97,50,History,English,Journalist,"English, Social Studies"
134,58,71,94,70,87,95,70,Nature,Social,Historian,"History, Social Studies"
135,83,92,94,67,99,58,58,Coding,Computer,Astronomer,"Math, Science"
136,73,87,66,56,67,75,75,Finance,Science,Game Developer,"Computer, Math"
137,73,91,88,99,99,54,57,Painting,Arts,Fashion Designer,Arts
138,89,70,97,74,84,60,63,Coding,English,Public Relations Manager,"English, Social Studies"
139,70,51,98,55,75,74,82,Finance,English,Content Creator,English
140,51,72,58,70,67,60,89,Healthcare,PE,Athlete,"PE, Biology"
141,72,98,60,72,69,72,92,Leadership,Science,Cybersecurity Analyst,"Computer, Math"
142,89,61,95,80,75,99,56,Healthcare,Social,Counselor,"Social Studies, Biology"
143,78,76,73,63,59,72,89,Writing,PE,Fitness Entrepreneur,"PE, Business Studies"
144,93,97,84,96,62,57,51,Finance,Science,Cybersecurity Analyst,"Computer, Math"
145,76,100,64,94,77,63,57,Nature,Science,Software Developer,"Computer, Math"
146,57,98,82,51,76,71,67,Robotics,Science,Scientist,"Math, Science"
147,62,62,81,75,72,77,84,Coding,PE,Coach,"PE, Biology"
148,65,70,61,96,59,73,67,Nature,Arts,Fashion Designer,Arts
149,81,65,75,90,94,92,70,Robotics,Computer,Astronomer,"Math, Science"
150,90,60,77,66,82,53,82,Robotics,Math,Engineer,"Math, Computer, Science"
151,80,63,69,96,51,66,84,Healthcare,Arts,Animator,"Arts, Computer"
152,81,51,96,69,60,66,77,Healthcare,English,Public Relations Manager,"English, Social Studies"
153,92,51,85,63,87,68,53,History,Math,Blockchain Developer,"Computer, Math"
154,70,58,84,70,98,65,73,Robotics,Computer,Doctor,"Biology, Science"
155,55,95,91,53,53,88,63,Coding,Science,Scientist,"Math, Science"
156,88,52,72,73,54,70,86,Healthcare,Math,Blockchain Developer,"Computer, Math"
157,93,67,88,61,79,95,57,Finance,Social,Sociologist,Social Studies
158,57,93,68,54,59,94,98,Painting,PE,Coach,"PE, Biology"
159,55,52,98,96,68,84,63,Robotics,English,Public Relations Manager,"English, Social Studies"
160,53,82,68,86,89,65,64,Coding,Computer,Scientist,"Math, Science"
161,57,73,55,50,84,89,68,Sports,Social,Political Scientist,"History, Social Studies"
162,93,70,89,79,93,77,99,Teaching,PE,Sports Physiotherapist,"PE, Biology"
163,82,91,94,85,60,96,58,Robotics,Social,Historian,"History, Social Studies"
164,87,78,74,64,72,68,50,Painting,Math,Cybersecurity Analyst,"Computer, Math"
165,53,80,100,66,70,91,91,Robotics,English,Journalist,"English, Social Studies"
166,76,95,70,98,83,87,95,Sports,Arts,Graphic Designer,"Arts, Computer"
167,67,81,83,90,65,59,77,Robotics,Arts,Interior Designer,"Arts, Math"
168,69,60,56,97,87,56,50,Robotics,Arts,Interior Designer,"Arts, Math"
169,56,71,54,50,66,68,60,Nature,Science,Software Developer,"Computer, Math"
170,82,63,95,86,65,80,83,Nature,English,Digital Marketer,"English, Business Studies"
171,72,63,70,75,84,56,85,Event Management,PE,Athlete,"PE, Biology"
172,56,87,87,57,76,53,99,Event Management,PE,Sports Physiotherapist,"PE, Biology"
173,59,89,92,80,55,78,64,Finance,English,Content Creator,English
174,78,77,63,51,54,75,96,Writing,PE,Fitness Entrepreneur,"PE, Business Studies"
175,58,91,93,90,52,63,97,Robotics,PE,Athlete,"PE, Biology"
176,68,58,62,98,58,98,78,Writing,Arts,Fashion Designer,Arts
177,55,90,57,64,54,57,93,Finance,PE,Fitness Entrepreneur,"PE, Business Studies"
178,68,87,89,91,81,77,70,Finance,Arts,Animator,"Arts, Computer"
179,80,75,96,61,93,55,92,Robotics,English,Content Creator,English
180,83,98,78,63,65,74,88,Finance,Science,Cybersecurity Analyst,"Computer, Math"
181,78,70,52,66,70,66,91,Robotics,PE,Fitness Entrepreneur,"PE, Business Studies"
182,64,89,89,65,76,95,67,Finance,Social,Historian,"History, Social Studies"
183,90,50,88,52,87,94,93,Robotics,Social,Sociologist,Social Studies
184,67,100,69,96,86,79,57,Teaching,Science,Blockchain Developer,"Computer, Math"
185,82,84,92,83,79,92,69,Nature,English,Digital Marketer,"English, Business Studies"
186,94,55,58,93,71,90,69,Robotics,Math,Doctor,"Biology, Science"
187,78,68,61,91,85,83,55,Teaching,Arts,Interior Designer,"Arts, Math"
188,99,95,81,57,99,87,58,History,Math,Cybersecurity Analyst,"Computer, Math"
189,91,76,97,73,63,74,54,Sports,English,Journalist,"English, Social Studies"
190,67,62,92,98,59,86,89,Painting,Arts,Interior Designer,"Arts, Math"
191,54,57,50,91,84,51,91,Robotics,Arts,Interior Designer,"Arts, Math"
192,89,81,77,81,99,82,53,History,Computer,Cybersecurity Analyst,"Computer, Math"
193,69,88,64,82,50,73,91,History,PE,Sports Physiotherapist,"PE, Biology"
194,58,90,96,50,80,54,63,Painting,English,Content Creator,English
195,98,70,100,59,91,65,81,Leadership,English,Public Relations Manager,"English, Social Studies"
196,80,64,67,65,75,50,80,Leadership,Math,Software Developer,"Computer, Math"
197,74,51,99,55,80,62,62,Writing,English,Digital Marketer,"English, Business Studies"
198,86,81,66,92,54,84,78,Robotics,Arts,Interior Designer,"Arts, Math"
199,81,82,77,88,79,99,66,Writing,Social,Historian,"History, Social Studies"
200,89,72,54,79,53,68,81,Painting,Math,Blockchain Developer,"Computer, Math"
201,89,100,67,57,81,92,57,Coding,Science,Doctor,"Biology, Science"
202,57,91,73,92,57,76,97,Nature,PE,Coach,"PE, Biology"
203,99,67,73,57,73,64,92,Event Management,Math,Cybersecurity Analyst,"Computer, Math"
204,90,95,72,83,65,58,76,Finance,Science,Cybersecurity Analyst,"Computer, Math"
205,69,92,52,61,65,91,58,Nature,Science,Game Developer,"Computer, Math"
206,95,85,80,87,88,58,67,Nature,Math,Game Developer,"Computer, Math"
207,56,96,93,93,83,97,61,Event Management,Social,Historian,"History, Social Studies"
208,92,88,80,58,92,65,60,Painting,Math,Blockchain Developer,"Computer, Math"
209,65,94,99,97,100,74,72,Teaching,Computer,Blockchain Developer,"Computer, Math"
210,50,68,86,57,72,64,84,Robotics,English,Journalist,"English, Social Studies"
211,76,97,100,81,95,67,73,Sports,English,Digital Marketer,"English, Business Studies"
212,67,62,55,61,88,52,84,Coding,Computer,Doctor,"Biology, Science"
213,53,95,89,59,69,66,77,Event Management,Science,Game Developer,"Computer, Math"
214,90,88,62,85,100,82,78,Teaching,Computer,Game Developer,"Computer, Math"
215,70,98,63,53,94,51,78,Leadership,Science,Software Developer,"Computer, Math"
216,85,73,64,85,66,98,94,Coding,Social,Counselor,"Social Studies, Biology"
217,69,80,60,92,56,77,90,Healthcare,Arts,Fashion Designer,Arts
218,77,86,88,89,59,51,84,Sports,Arts,Interior Designer,"Arts, Math"
219,78,51,84,75,82,82,65,Nature,English,Digital Marketer,"English, Business Studies"
220,88,89,59,99,60,53,94,Leadership,Arts,Animator,"Arts, Computer"
221,62,57,99,72,53,83,92,Robotics,English,Public Relations Manager,"English, Social Studies"
222,69,92,60,91,58,58,91,Event Management,Science,Blockchain Developer,"Computer, Math"
223,74,91,96,89,84,79,70,Coding,English,Digital Marketer,"English, Business Studies"
224,74,66,96,99,66,71,54,Event Management,Arts,Fashion Designer,Arts
225,64,82,92,50,75,91,78,Robotics,English,Content Creator,English
226,97,82,91,62,82,61,84,Writing,Math,Game Developer,"Computer, Math"
227,99,92,100,77,89,55,86,Sports,English,Public Relations Manager,"English, Social Studies"
228,63,79,76,100,88,85,59,Coding,Arts,Interior Designer,"Arts, Math"
229,81,88,83,89,88,88,71,Sports,Arts,Graphic Designer,"Arts, Computer"
230,54,81,71,72,62,93,77,Healthcare,Social,Political Scientist,"History, Social Studies"
231,83,60,89,97,96,73,99,Coding,PE,Athlete,"PE, Biology"
232,61,91,82,64,68,63,98,Sports,PE,Athlete,"PE, Biology"
233,82,63,80,94,87,83,53,Coding,Arts,Graphic Designer,"Arts, Computer"
234,64,81,92,51,58,98,90,Writing,Social,Political Scientist,"History, Social Studies"
235,64,52,79,87,89,76,100,Leadership,PE,Coach,"PE, Biology"
236,52,52,96,55,94,59,100,Healthcare,PE,Coach,"PE, Biology"
237,81,73,91,63,56,62,68,Robotics,English,Journalist,"English, Social Studies"
238,60,64,64,76,77,60,55,Writing,Computer,Game Developer,"Computer, Math"
239,72,79,69,69,60,100,74,Painting,Social,Sociologist,Social Studies
240,78,57,65,84,89,62,71,Healthcare,Computer,Game Developer,"Computer, Math"
241,62,85,88,86,59,74,56,Coding,English,Content Creator,English
242,98,78,60,63,87,83,67,Finance,Math,Cybersecurity Analyst,"Computer, Math"
243,81,65,99,94,88,67,53,History,English,Digital Marketer,"English, Business Studies"
244,93,82,61,99,88,75,60,Painting,Arts,Fashion Designer,Arts
245,93,94,82,52,59,56,99,Writing,PE,Coach,"PE, Biology"
246,51,68,84,99,61,70,74,Robotics,Arts,Animator,"Arts, Computer"
247,56,60,100,92,52,88,53,Finance,English,Public Relations Manager,"English, Social Studies"
248,84,64,96,64,99,93,56,Sports,Computer,Blockchain Developer,"Computer, Math"
249,93,95,87,94,96,97,69,Robotics,Social,Counselor,"Social Studies, Biology"
250,58,88,53,76,93,55,96,Robotics,PE,Coach,"PE, Biology"
251,65,54,57,94,91,72,62,Teaching,Arts,Interior Designer,"Arts, Math"
252,60,78,51,89,70,81,68,Teaching,Arts,Fashion Designer,Arts
253,77,81,61,83,95,70,93,Writing,Computer,Software Developer,"Computer, Math"
254,75,79,50,97,51,70,69,Writing,Arts,Animator,"Arts, Computer"
255,99,71,64,56,84,55,83,Painting,Math,Cybersecurity Analyst,"Computer, Math"
256,70,83,66,56,61,94,99,Finance,PE,Coach,"PE, Biology"
257,68,55,84,53,81,100,67,Teaching,Social,Sociologist,Social Studies
258,94,83,63,50,85,58,99,Coding,PE,Coach,"PE, Biology"
259,52,95,62,56,84,79,84,Writing,Science,Game Developer,"Computer, Math"
260,93,97,83,82,61,83,94,History,Science,Software Developer,"Computer, Math"
261,76,56,52,67,86,69,80,Writing,Computer,Blockchain Developer,"Computer, Math"
262,94,60,68,59,88,54,50,Sports,Math,Cybersecurity Analyst,"Computer, Math"
263,76,51,70,71,91,100,72,Writing,Social,Political Scientist,"History, Social Studies"
264,96,87,59,82,54,71,61,History,Math,Software Developer,"Computer, Math"
265,62,87,69,58,63,56,67,Nature,Science,Cybersecurity Analyst,"Computer, Math"
266,97,69,85,51,94,67,96,Teaching,Math,Game Developer,"Computer, Math"
267,83,94,96,100,68,94,56,Teaching,Arts,Animator,"Arts, Computer"
268,78,88,81,68,51,59,57,Painting,Science,Software Developer,"Computer, Math"
269,67,51,67,68,88,71,77,Teaching,Computer,Blockchain Developer,"Computer, Math"
270,84,55,57,96,96,54,100,Finance,PE,Athlete,"PE, Biology"
271,72,82,98,65,95,58,62,History,English,Content Creator,English
272,82,74,85,81,63,62,59,Writing,English,Public Relations Manager,"English, Social Studies"
273,92,72,66,94,57,84,97,Event Management,PE,Coach,"PE, Biology"
274,88,63,52,72,86,55,83,Leadership,Math,Blockchain Developer,"Computer, Math"
275,50,79,94,59,72,51,82,Nature,English,Public Relations Manager,"English, Social Studies"
276,62,80,85,61,71,95,54,Robotics,Social,Historian,"History, Social Studies"
277,84,77,83,71,51,81,75,Nature,Math,Cybersecurity Analyst,"Computer, Math"
278,67,74,75,75,81,57,85,Painting,PE,Fitness Entrepreneur,"PE, Business Studies"
279,78,93,54,67,51,76,86,History,Science,Cybersecurity Analyst,"Computer, Math"
280,92,87,59,73,74,67,67,Event Management,Math,Software Developer,"Computer, Math"
281,79,90,99,53,80,72,70,Teaching,English,Public Relations Manager,"English, Social Studies"
282,62,67,72,69,84,87,75,History,Social,Counselor,"Social Studies, Biology"
283,52,53,94,52,88,96,51,Healthcare,Social,Counselor,"Social Studies, Biology"
284,54,80,62,93,96,85,57,History,Computer,Game Developer,"Computer, Math"
285,75,71,54,63,76,54,73,Sports,Computer,Cybersecurity Analyst,"Computer, Math"
286,89,50,89,82,85,85,75,Sports,Math,Cybersecurity Analyst,"Computer, Math"
287,59,75,71,73,51,50,65,Writing,Science,Cybersecurity Analyst,"Computer, Math"
288,72,58,68,96,90,54,66,Event Management,Arts,Interior Designer,"Arts, Math"
289,92,58,84,55,53,91,56,Sports,Math,Cybersecurity Analyst,"Computer, Math"
290,81,62,86,77,79,51,76,Leadership,English,Journalist,"English, Social Studies"
291,63,90,94,81,94,95,84,Leadership,Social,Historian,"History, Social Studies"
292,71,71,93,86,73,53,74,History,English,Digital Marketer,"English, Business Studies"
293,81,79,57,93,85,56,78,Coding,Arts,Fashion Designer,Arts
294,58,83,81,54,54,59,50,Healthcare,Science,Blockchain Developer,"Computer, Math"
295,50,80,64,64,58,51,77,Healthcare,Science,Game Developer,"Computer, Math"
296,50,83,66,83,61,62,76,Painting,Science,Software Developer,"Computer, Math"
297,50,58,54,84,87,65,77,Healthcare,Computer,Cybersecurity Analyst,"Computer, Math"
298,59,69,80,93,67,79,60,Sports,Arts,Fashion Designer,Arts
299,66,86,97,56,82,63,84,Robotics,English,Content Creator,English
300,91,73,57,75,56,57,76,Event Management,Math,Blockchain Developer,"Computer, Math"
301,66,58,87,53,77,63,60,Nature,English,Journalist,"English, Social Studies"
302,66,72,83,89,94,54,84,History,Computer,Software Developer,"Computer, Math"
303,71,66,89,61,70,62,100,Sports,PE,Sports Physiotherapist,"PE, Biology"
304,54,83,100,55,56,99,70,Finance,English,Digital Marketer,"English, Business Studies"
305,95,58,81,74,97,82,69,Teaching,Computer,Cybersecurity Analyst,"Computer, Math"
306,54,56,56,77,73,79,69,Finance,Social,Counselor,"Social Studies, Biology"
307,60,69,83,86,74,55,50,Writing,Arts,Graphic Designer,"Arts, Computer"
308,87,100,51,58,60,71,88,Healthcare,Science,Game Developer,"Computer, Math"
309,99,70,58,55,76,59,90,Sports,Math,Software Developer,"Computer, Math"
310,76,63,88,63,64,97,82,Writing,Social,Sociologist,Social Studies
311,50,95,58,79,68,52,53,Event Management,Science,Software Developer,"Computer, Math"
312,74,63,55,97,85,74,79,History,Arts,Graphic Designer,"Arts, Computer"
313,60,74,97,73,74,83,57,Finance,English,Digital Marketer,"English, Business Studies"
314,71,97,99,87,97,88,73,Nature,English,Digital Marketer,"English, Business Studies"
315,95,74,95,50,70,61,89,Writing,Math,Blockchain Developer,"Computer, Math"
316,90,91,77,75,57,68,92,Painting,PE,Sports Physiotherapist,"PE, Biology"
317,54,70,68,60,69,85,91,Leadership,PE,Sports Physiotherapist,"PE, Biology"
318,65,94,85,96,57,52,54,Writing,Arts,Graphic Designer,"Arts, Computer"
319,57,72,83,52,97,92,63,Sports,Computer,Game Developer,"Computer, Math"
320,75,81,95,56,66,79,63,History,English,Public Relations Manager,"English, Social Studies"
321,95,76,53,66,56,52,79,Teaching,Math,Blockchain Developer,"Computer, Math"
322,89,76,75,86,60,98,99,Nature,PE,Coach,"PE, Biology"
323,84,74,97,57,88,100,81,History,Social,Sociologist,Social Studies
324,57,67,93,94,85,70,87,Robotics,Arts,Animator,"Arts, Computer"
325,85,64,57,68,94,99,70,Sports,Social,Political Scientist,"History, Social Studies"
326,53,76,80,70,64,83,56,Nature,Social,Political Scientist,"History, Social Studies"
327,62,70,91,63,95,78,86,Leadership,Computer,Blockchain Developer,"Computer, Math"
328,83,73,62,66,65,96,91,Painting,Social,Sociologist,Social Studies
329,55,59,50,73,50,54,53,Writing,Arts,Fashion Designer,Arts
330,67,50,50,68,64,96,79,Leadership,Social,Historian,"History, Social Studies"
331,82,100,58,81,96,87,66,Nature,Science,Software Developer,"Computer, Math"
332,95,70,53,88,88,70,99,History,PE,Athlete,"PE, Biology"
333,89,94,72,73,62,100,50,Leadership,Social,Political Scientist,"History, Social Studies"
334,50,84,53,59,63,54,88,Writing,PE,Athlete,"PE, Biology"
335,81,85,93,86,52,76,90,Healthcare,English,Content Creator,English
336,58,81,93,62,96,74,62,History,Computer,Software Developer,"Computer, Math"
337,52,89,99,74,51,80,98,Coding,English,Journalist,"English, Social Studies"
338,71,97,83,75,93,65,73,Event Management,Science,Cybersecurity Analyst,"Computer, Math"
339,95,99,87,59,60,99,91,Healthcare,Science,Game Developer,"Computer, Math"
340,71,68,85,85,93,85,59,Sports,Computer,Software Developer,"Computer, Math"
341,52,86,57,84,80,59,95,Event Management,PE,Coach,"PE, Biology"
342,95,72,51,76,88,77,53,Event Management,Math,Blockchain Developer,"Computer, Math"
343,97,77,68,93,99,78,60,History,Computer,Cybersecurity Analyst,"Computer, Math"
344,57,53,98,79,65,72,57,Nature,English,Journalist,"English, Social Studies"
345,89,85,99,61,97,78,54,Teaching,English,Content Creator,English
346,67,100,54,100,88,90,69,Robotics,Science,Astronomer,"Math, Science"
347,64,52,65,82,64,84,93,Writing,PE,Athlete,"PE, Biology"
348,91,53,76,67,58,59,64,Teaching,Math,Blockchain Developer,"Computer, Math"
